"","V4","V5","V6","V7"
"3305","FBgn0033017","ZC239.3","WBGene00022566",1
"3306","FBgn0033017","ZC239.5","WBGene00022568",1
"3307","FBgn0033017","T08G3.13","WBGene00011621",1
"3308","FBgn0033017","K02F6.5","WBGene00019339",1
"3309","FBgn0033017","K02F6.8","WBGene00019342",1
"3310","FBgn0033017","ZC239.6","WBGene00022569",1
"3311","FBgn0033017","ZC239.2","WBGene00022565",1
"3312","FBgn0033017","F22E5.11","WBGene00017709",1
"3313","FBgn0033017","T05E12.3","WBGene00011486",1
"3314","FBgn0033017","ZC239.17","WBGene00022575",1
"3315","FBgn0033017","ZC239.16","WBGene00022574",1
"3316","FBgn0033017","ZC239.13","WBGene00022571",1
"3317","FBgn0033017","ZC239.4","WBGene00022567",1
"3318","FBgn0033017","F22E5.8","WBGene00017707",1
"3319","FBgn0033017","ZC239.15","WBGene00022573",1
"3320","FBgn0033017","ZC239.14","WBGene00022572",1
"3321","FBgn0033017","C40A11.7","WBGene00016550",1
"3322","FBgn0033017","C40A11.6","WBGene00016549",1
"3323","FBgn0033017","B0281.5","WBGene00015112",1
"3324","FBgn0033017","B0281.6","WBGene00015113",1
"3325","FBgn0033017","C40A11.4","WBGene00016547",1
"3326","FBgn0033017","C40A11.2","WBGene00016545",1
"3327","FBgn0033017","ZC239.12","WBGene00022570",1
"3328","FBgn0033017","F22E5.6","WBGene00017705",1
"3329","FBgn0033017","C17F4.8","WBGene00015914",1
"3330","FBgn0033017","C40A11.3","WBGene00016546",1
"3331","FBgn0036538","C01F6.9","WBGene00007223",2
"3332","FBgn0036538","K10B3.1","WBGene00019609",2
"3333","FBgn0036537","C01F6.9","WBGene00007223",2
"3334","FBgn0036537","K10B3.1","WBGene00019609",2
"3335","FBgn0030433","R11D1.9","WBGene00011247",1
"3336","FBgn0002174","F22B7.5","WBGene00001028",1
"3337","FBgn0030749","T07C4.9","WBGene00003589",2
"3338","FBgn0030749","ZC155.1","WBGene00003588",2
"3339","FBgn0030749","C28A5.3","WBGene00003590",2
"3340","FBgn0000083","T07C4.9","WBGene00003589",2
"3341","FBgn0000083","ZC155.1","WBGene00003588",2
"3342","FBgn0000083","C28A5.3","WBGene00003590",2
"3343","FBgn0053487","C37H5.1","WBGene00003591",5
"3344","FBgn0053496","C37H5.1","WBGene00003591",5
"3345","FBgn0053491","C37H5.1","WBGene00003591",5
"3346","FBgn0000084","C37H5.1","WBGene00003591",5
"3347","FBgn0053498","C37H5.1","WBGene00003591",5
"3348","FBgn0035489","H28O16.2","WBGene00010420",1
"3349","FBgn0031252","T13H5.7","WBGene00004383",1
"3350","FBgn0032305","F01F1.1","WBGene00017158",1
"3351","FBgn0034264","C26C6.8","WBGene00007742",1
"3352","FBgn0027581","Y71F9B.6","WBGene00022128",1
"3353","FBgn0031895","F46H5.2","WBGene00018518",1
"3354","FBgn0025807","Y39A1A.23","WBGene00001997",1
"3355","FBgn0034893","C25A1.13","WBGene00007712",1
"3356","FBgn0028974","F20D12.2","WBGene00017642",1
"3357","FBgn0035998","JC8.13","WBGene00006466",1
"3358","FBgn0261697","Y38F2AL.2","WBGene00021416",2
"3360","FBgn0035741","Y105E8A.5","WBGene00000241",1
"3361","FBgn0030370","C08B11.7","WBGene00006724",2
"3362","FBgn0011327","C08B11.7","WBGene00006724",2
"3363","FBgn0032363","F44D12.1","WBGene00009678",1
"3364","FBgn0033994","ZK1128.2","WBGene00014228",1
"3365","FBgn0051730","Y97E10AL.3","WBGene00022394",3
"3366","FBgn0051851","Y97E10AL.3","WBGene00022394",3
"3367","FBgn0031043","Y97E10AL.3","WBGene00022394",3
"3368","FBgn0025864","F52C12.4","WBGene00018681",1
"3369","FBgn0035229","C52E12.4","WBGene00016889",1
"3370","FBgn0038321","W06B4.1","WBGene00021056",1
"3371","FBgn0038321","W06B4.2","WBGene00021057",1
"3372","FBgn0017566","Y45G12B.1","WBGene00021562",1
"3373","FBgn0026372","F55D10.2","WBGene00004438",1
"3374","FBgn0026372","F52B5.6","WBGene00004439",1
"3375","FBgn0002891","Y37B11A.2","WBGene00021344",1
"3376","FBgn0037093","B0285.1","WBGene00007135",1
"3377","FBgn0019949","H25P06.2","WBGene00000410",1
"3378","FBgn0016696","ZC504.3","WBGene00013917",1
"3379","FBgn0016696","B0495.2","WBGene00015203",1
"3380","FBgn0010772","C07H6.8","WBGene00000854",1
"3381","FBgn0000409","ZC116.2","WBGene00013854",2
"3382","FBgn0000409","E04A4.7","WBGene00017121",2
"3383","FBgn0086907","ZC116.2","WBGene00013854",2
"3384","FBgn0086907","E04A4.7","WBGene00017121",2
"3386","FBgn0011570","M106.5","WBGene00000293",1
"3387","FBgn0029714","Y39A1A.14","WBGene00012652",1
"3388","FBgn0032120","W09D10.2","WBGene00012360",1
"3389","FBgn0032120","T24H7.5","WBGene00020784",1
"3390","FBgn0037989","H06H21.10","WBGene00019166",1
"3391","FBgn0031708","F56B3.11","WBGene00018934",1
"3392","FBgn0035355","C25H3.14","WBGene00016123",2
"3393","FBgn0035355","C25H3.3","WBGene00016112",2
"3394","FBgn0035355","F42H10.6","WBGene00018370",2
"3395","FBgn0035356","C25H3.14","WBGene00016123",2
"3396","FBgn0035356","C25H3.3","WBGene00016112",2
"3397","FBgn0035356","F42H10.6","WBGene00018370",2
"3398","FBgn0035877","T01G9.2","WBGene00011344",1
"3399","FBgn0029888","Y51H1A.3","WBGene00013094",1
"3400","FBgn0038111","F38A5.2","WBGene00018161",1
"3401","FBgn0050122","Y41E3.11","WBGene00012769",1
"3402","FBgn0260859","ZK1098.5","WBGene00014222",1
"3403","FBgn0022740","F57C12.3","WBGene00001962",1
"3404","FBgn0022740","ZK682.4","WBGene00001954",1
"3405","FBgn0038651","C56C10.12","WBGene00016968",1
"3406","FBgn0050105","ZK1127.13","WBGene00195239",1
"3407","FBgn0082598","E01A2.6","WBGene00017088",2
"3408","FBgn0262017","E01A2.6","WBGene00017088",2
"3409","FBgn0050100","T23B5.4","WBGene00011941",1
"3410","FBgn0010292","F57B9.5","WBGene00000276",1
"3411","FBgn0039225","C52B9.2","WBGene00016865",1
"3412","FBgn0259822","T28F2.5","WBGene00000368",1
"3413","FBgn0259822","W10C8.1","WBGene00021125",1
"3414","FBgn0030151","W08E3.3","WBGene00012344",1
"3415","FBgn0032511","C16A3.5","WBGene00015810",1
"3416","FBgn0262124","C33D12.2","WBGene00016343",1
"3417","FBgn0262124","C52D10.12","WBGene00016879",1
"3418","FBgn0262124","R04E5.2","WBGene00019869",1
"3419","FBgn0262124","C01H6.6","WBGene00007255",1
"3420","FBgn0262124","R13G10.4","WBGene00011260",1
"3421","FBgn0026375","H08M01.2","WBGene00010374",1
"3422","FBgn0030685","T04C9.1","WBGene00020209",1
"3423","FBgn0031118","C04D8.1","WBGene00015418",1
"3424","FBgn0032821","F47A4.3","WBGene00009800",1
"3425","FBgn0036850","Y39A3CR.1","WBGene00004886",1
"3426","FBgn0025469","Y39A1A.8","WBGene00012647",2
"3427","FBgn0025469","C06G8.1","WBGene00007384",2
"3428","FBgn0025469","K02D7.5","WBGene00019300",2
"3429","FBgn0025469","C54F6.4","WBGene00016922",2
"3430","FBgn0036501","Y39A1A.8","WBGene00012647",2
"3431","FBgn0036501","C06G8.1","WBGene00007384",2
"3432","FBgn0036501","K02D7.5","WBGene00019300",2
"3433","FBgn0036501","C54F6.4","WBGene00016922",2
"3434","FBgn0034389","D2092.1","WBGene00017063",1
"3435","FBgn0039208","T12A2.15","WBGene00020443",1
"3436","FBgn0261792","F08B4.7","WBGene00017238",1
"3437","FBgn0262601","W08E3.1","WBGene00004915",1
"3438","FBgn0038421","Y37E3.4","WBGene00021348",1
"3439","FBgn0039150","ZC13.1","WBGene00022502",1
"3440","FBgn0014411","T20D3.7","WBGene00006931",1
"3441","FBgn0034546","C17E4.3","WBGene00007643",1
"3442","FBgn0029877","F58E6.12","WBGene00077696",1
"3443","FBgn0002431","F36A2.13","WBGene00009460",1
"3444","FBgn0030674","Y67D8C.5","WBGene00022069",1
"3445","FBgn0032480","ZC506.1","WBGene00013919",1
"3446","FBgn0023511","F10C2.5","WBGene00008646",1
"3447","FBgn0038830","T09B4.4","WBGene00020378",1
"3448","FBgn0034360","Y47D3A.14","WBGene00012927",1
"3449","FBgn0058191","F09G2.2","WBGene00017311",1
"3451","FBgn0034732","C01G12.8","WBGene00007248",3
"3452","FBgn0085503","C01G12.8","WBGene00007248",3
"3453","FBgn0040037","C01G12.8","WBGene00007248",3
"3454","FBgn0052451","ZK256.1","WBGene00004063",1
"3455","FBgn0052407","B0336.11","WBGene00015148",2
"3456","FBgn0052485","B0336.11","WBGene00015148",2
"3457","FBgn0037958","R05D11.9","WBGene00011037",1
"3458","FBgn0041607","M02D8.4","WBGene00019730",1
"3459","FBgn0035726","K12H4.7","WBGene00019682",1
"3460","FBgn0035726","Y116F11B.3","WBGene00003959",1
"3461","FBgn0035726","F23B2.11","WBGene00003958",1
"3462","FBgn0035726","F23B2.12","WBGene00003957",1
"3463","FBgn0035726","F28E10.5","WBGene00044302",1
"3464","FBgn0035726","F19C7.2","WBGene00017592",1
"3465","FBgn0035726","F19C7.4","WBGene00017594",1
"3466","FBgn0035726","F56F10.1","WBGene00018984",1
"3467","FBgn0035726","C26B9.5","WBGene00016134",1
"3468","FBgn0032864","ZK688.6","WBGene00022801",1
"3469","FBgn0032864","ZK112.1","WBGene00003956",1
"3470","FBgn0001128","F47G4.3","WBGene00009824",3
"3471","FBgn0001128","K11H3.1","WBGene00010778",3
"3474","FBgn0034825","F47G4.3","WBGene00009824",3
"3475","FBgn0034825","K11H3.1","WBGene00010778",3
"3476","FBgn0024326","VZC374L.1","WBGene00012162",1
"3477","FBgn0024326","F42G10.2","WBGene00003368",1
"3478","FBgn0024326","ZC449.3","WBGene00022613",1
"3479","FBgn0261524","R03G5.2","WBGene00004758",1
"3480","FBgn0010269","Y54E10BL.6","WBGene00003186",1
"3481","FBgn0010303","F35C8.1","WBGene00018034",1
"3482","FBgn0010303","F35C8.2","WBGene00018035",1
"3483","FBgn0010303","K08A8.1","WBGene00003185",1
"3484","FBgn0010303","F35C8.3","WBGene00002177",1
"3485","FBgn0053138","T04A8.7","WBGene00011409",1
"3486","FBgn0038811","W06H3.2","WBGene00004248",1
"3487","FBgn0033913","M03B6.2","WBGene00010834",2
"3488","FBgn0033913","C01B4.9","WBGene00015273",2
"3489","FBgn0033913","Y19D10A.12","WBGene00021227",2
"3490","FBgn0033955","M03B6.2","WBGene00010834",2
"3491","FBgn0033955","C01B4.9","WBGene00015273",2
"3492","FBgn0033955","Y19D10A.12","WBGene00021227",2
"3493","FBgn0035173","K05B2.5","WBGene00003986",1
"3494","FBgn0023549","C10E2.6","WBGene00015676",1
"3495","FBgn0023549","T02G5.12","WBGene00020168",1
"3496","FBgn0033095","C49F8.2","WBGene00008214",1
"3497","FBgn0010247","Y71F9AL.18","WBGene00004049",1
"3498","FBgn0053977","F28D1.11","WBGene00009219",1
"3499","FBgn0031571","C06B8.7","WBGene00007372",1
"3500","FBgn0029723","F57H12.4","WBGene00019019",1
"3501","FBgn0029723","F53A9.5","WBGene00018728",1
"3502","FBgn0010621","C07G2.3","WBGene00000380",1
"3503","FBgn0028919","Y66D12A.8","WBGene00013434",1
"3504","FBgn0053116","F54D7.2","WBGene00018797",2
"3505","FBgn0031948","F54D7.2","WBGene00018797",2
"3506","FBgn0033844","F22E10.5","WBGene00009057",1
"3507","FBgn0033844","Y49A3A.1","WBGene00013024",1
"3508","FBgn0032796","Y105E8A.24","WBGene00013681",1
"3509","FBgn0010590","K08D12.1","WBGene00003947",1
"3510","FBgn0035953","Y39A1C.2","WBGene00003898",1
"3511","FBgn0015808","Y57A10C.6","WBGene00013284",2
"3512","FBgn0032715","Y57A10C.6","WBGene00013284",2
"3513","FBgn0030519","ZK892.2","WBGene00003773",1
"3514","FBgn0030731","E04F6.3","WBGene00017123",1
"3515","FBgn0030067","C16A3.6","WBGene00015811",1
"3516","FBgn0035383","R07H5.2","WBGene00011122",1
"3517","FBgn0261279","C34E11.1","WBGene00004682",1
"3518","FBgn0039697","F23C8.5","WBGene00017734",1
"3519","FBgn0259100","C34B4.1","WBGene00003143",1
"3520","FBgn0032938","C54H2.1","WBGene00006368",1
"3521","FBgn0024230","C34F6.4","WBGene00002029",1
"3522","FBgn0019624","Y37D8A.14","WBGene00012553",1
"3523","FBgn0016792","K07E12.1","WBGene00000998",1
"3524","FBgn0016792","F35A5.1","WBGene00018024",1
"3525","FBgn0026418","C30C11.4","WBGene00016250",1
"3526","FBgn0023529","T14G8.3","WBGene00011771",1
"3527","FBgn0023529","T24H7.2","WBGene00020781",1
"3528","FBgn0038332","ZK353.7","WBGene00022702",1
"3529","FBgn0032296","K04B12.3","WBGene00010551",1
"3530","FBgn0002413","F46F2.2","WBGene00002203",1
"3531","FBgn0015024","C03C10.1","WBGene00002202",2
"3532","FBgn0032650","C03C10.1","WBGene00002202",2
"3533","FBgn0250823","Y106G6E.6","WBGene00013709",1
"3534","FBgn0040297","B0395.1","WBGene00003729",1
"3535","FBgn0040297","B0495.4","WBGene00003730",1
"3536","FBgn0040297","F58E1.6","WBGene00003734",1
"3537","FBgn0040297","ZK822.3","WBGene00003736",1
"3538","FBgn0040297","C54F6.13","WBGene00003731",1
"3539","FBgn0003460","C10G8.7","WBGene00000454",1
"3540","FBgn0003460","C10G8.6","WBGene00000455",1
"3541","FBgn0015721","F10B5.4","WBGene00006655",1
"3542","FBgn0033169","ZK792.5","WBGene00014078",1
"3543","FBgn0031437","C46H11.3","WBGene00016729",1
"3544","FBgn0031437","M01B12.3","WBGene00000205",1
"3545","FBgn0004101","D1081.2","WBGene00006844",1
"3546","FBgn0033380","Y71H2B.2","WBGene00022192",1
"3547","FBgn0020370","F21H12.6","WBGene00017686",1
"3548","FBgn0000996","Y54E10A.15","WBGene00000413",1
"3549","FBgn0011769","Y73F8A.27","WBGene00013532",1
"3550","FBgn0003896","C04F1.3","WBGene00002989",1
"3551","FBgn0026411","F01D4.6","WBGene00003167",1
"3552","FBgn0083959","F54D1.5","WBGene00001796",1
"3553","FBgn0083959","C05C12.3","WBGene00001795",1
"3554","FBgn0083959","T01H8.5","WBGene00001651",1
"3555","FBgn0051223","F43C1.3","WBGene00009648",1
"3556","FBgn0086451","ZK430.1","WBGene00022739",1
"3557","FBgn0032208","C34D4.14","WBGene00016405",1
"3558","FBgn0035703","Y50D4A.4","WBGene00021738",1
"3559","FBgn0086707","F33A8.1","WBGene00002957",1
"3560","FBgn0038115","R11G10.2","WBGene00011249",1
"3561","FBgn0038115","Y37A1B.5","WBGene00012538",1
"3562","FBgn0086372","C32E8.10","WBGene00006751",1
"3563","FBgn0051559","Y46E12A.3","WBGene00021593",2
"3564","FBgn0029662","Y46E12A.3","WBGene00021593",2
"3565","FBgn0039054","C54E4.2","WBGene00016918",1
"3566","FBgn0027505","T22C1.10","WBGene00004318",1
"3567","FBgn0032595","F01F1.2","WBGene00017159",1
"3568","FBgn0025725","Y71F9AL.17","WBGene00022119",1
"3569","FBgn0033754","E02H1.6","WBGene00008458",1
"3574","FBgn0039373","M02B7.6","WBGene00000287",2
"3575","FBgn0039373","C13C12.1","WBGene00000285",2
"3576","FBgn0039373","T07G12.1","WBGene00000288",2
"3577","FBgn0039373","C18E9.1","WBGene00000286",2
"3578","FBgn0034691","JC8.10","WBGene00006763",1
"3579","FBgn0002441","Y48G1A.6","WBGene00021661",1
"3580","FBgn0002441","R06C7.7","WBGene00003041",1
"3581","FBgn0031310","ZK1128.8","WBGene00014234",1
"3582","FBgn0033494","C25B8.1","WBGene00002233",1
"3583","FBgn0010926","Y48G1A.4","WBGene00021660",1
"3584","FBgn0026150","Y45G5AM.2","WBGene00021555",1
"3585","FBgn0026150","W03G9.4","WBGene00000155",1
"3586","FBgn0038072","W03G9.2","WBGene00021014",1
"3587","FBgn0032816","W10D9.4","WBGene00021132",1
"3588","FBgn0031069","C44B7.9","WBGene00004059",1
"3589","FBgn0031069","C44B7.8","WBGene00004058",1
"3590","FBgn0039890","T02D1.5","WBGene00004061",1
"3591","FBgn0024733","F10B5.1","WBGene00004421",1
"3592","FBgn0037930","F36H1.1","WBGene00001426",1
"3593","FBgn0037930","C05C8.3","WBGene00001428",1
"3594","FBgn0037930","C50F2.6","WBGene00001430",1
"3595","FBgn0037930","ZC455.10","WBGene00001429",1
"3596","FBgn0010470","B0511.1","WBGene00001432",1
"3597","FBgn0033667","C34E11.2","WBGene00007935",2
"3598","FBgn0033668","C34E11.2","WBGene00007935",2
"3599","FBgn0262467","C01F1.2","WBGene00015297",1
"3600","FBgn0011674","F43E2.3","WBGene00018392",1
"3601","FBgn0022246","H35B03.2","WBGene00019264",1
"3602","FBgn0030801","M106.7","WBGene00044924",1
"3603","FBgn0032470","F54C1.5","WBGene00001117",1
"3604","FBgn0053123","R74.1","WBGene00003073",1
"3605","FBgn0027588","F40F9.6","WBGene00009583",1
"3606","FBgn0027588","F52D1.1","WBGene00018682",1
"3607","FBgn0035960","Y55F3AR.1","WBGene00021932",1
"3608","FBgn0027615","C01A2.3","WBGene00007215",1
"3609","FBgn0000212","F01G4.1","WBGene00004204",1
"3610","FBgn0000212","C52B9.8","WBGene00016868",1
"3611","FBgn0037074","Y45F10A.6","WBGene00012868",1
"3612","FBgn0038304","F41D9.1","WBGene00018281",1
"3613","FBgn0086347","T02C12.1","WBGene00002038",1
"3614","FBgn0029903","Y76A2B.1","WBGene00004075",1
"3615","FBgn0033109","R01H10.3","WBGene00000768",1
"3616","FBgn0039020","Y67D2.4","WBGene00022054",1
"3617","FBgn0029093","R12H7.2","WBGene00000217",2
"3618","FBgn0029093","H22K11.1","WBGene00000216",2
"3619","FBgn0033933","R12H7.2","WBGene00000217",2
"3620","FBgn0033933","H22K11.1","WBGene00000216",2
"3621","FBgn0046706","Y40A1A.1","WBGene00021483",1
"3622","FBgn0046706","F22H10.5","WBGene00017729",1
"3623","FBgn0046706","C01H6.9","WBGene00007258",1
"3624","FBgn0046706","Y18H1A.10","WBGene00021214",1
"3625","FBgn0035586","ZK265.9","WBGene00044094",1
"3626","FBgn0003162","F32G8.6","WBGene00000298",1
"3627","FBgn0027621","K02B2.1","WBGene00019295",1
"3628","FBgn0027621","Y110A7A.6","WBGene00022456",1
"3629","FBgn0053276","F43D9.6","WBGene00185048",1
"3630","FBgn0032723","Y6B3B.4","WBGene00012389",1
"3631","FBgn0031575","R02F11.4","WBGene00019842",1
"3632","FBgn0035422","R11D1.8","WBGene00004442",1
"3633","FBgn0032698","F23C8.9","WBGene00017738",1
"3634","FBgn0035499","F43G9.9","WBGene00000777",1
"3635","FBgn0052590","K11B4.2","WBGene00010767",1
"3636","FBgn0038853","Y92H12BL.4","WBGene00022365",1
"3637","FBgn0038853","Y92H12BM.1","WBGene00022367",1
"3638","FBgn0052675","Y37D8A.22","WBGene00012559",2
"3639","FBgn0052087","Y37D8A.22","WBGene00012559",2
"3640","FBgn0051454","K02G10.3","WBGene00019345",3
"3641","FBgn0051259","K02G10.3","WBGene00019345",3
"3642","FBgn0037592","K02G10.3","WBGene00019345",3
"3643","FBgn0037652","C27H6.8","WBGene00007787",1
"3644","FBgn0038919","F35G2.1","WBGene00009435",4
"3645","FBgn0038919","T10H10.2","WBGene00020426",4
"3646","FBgn0038919","F47B7.2","WBGene00018533",4
"3647","FBgn0038918","F35G2.1","WBGene00009435",4
"3648","FBgn0038918","T10H10.2","WBGene00020426",4
"3649","FBgn0038918","F47B7.2","WBGene00018533",4
"3650","FBgn0051413","F35G2.1","WBGene00009435",4
"3651","FBgn0051413","T10H10.2","WBGene00020426",4
"3652","FBgn0051413","F47B7.2","WBGene00018533",4
"3653","FBgn0033814","F35G2.1","WBGene00009435",4
"3654","FBgn0033814","T10H10.2","WBGene00020426",4
"3655","FBgn0033814","F47B7.2","WBGene00018533",4
"3656","FBgn0022213","Y48G1A.5","WBGene00002079",1
"3657","FBgn0010395","C05D9.3","WBGene00015472",1
"3658","FBgn0036990","Y92H12BR.8","WBGene00022373",1
"3659","FBgn0028984","F20D6.4","WBGene00005648",2
"3660","FBgn0028984","F20D6.3","WBGene00005649",2
"3661","FBgn0028984","C03G6.19","WBGene00005647",2
"3662","FBgn0028984","C05E4.3","WBGene00005642",2
"3663","FBgn0028984","C28G1.2","WBGene00016187",2
"3664","FBgn0028984","C05E4.1","WBGene00005643",2
"3665","FBgn0028984","Y32G9A.4","WBGene00005644",2
"3666","FBgn0038299","F20D6.4","WBGene00005648",2
"3667","FBgn0038299","F20D6.3","WBGene00005649",2
"3668","FBgn0038299","C03G6.19","WBGene00005647",2
"3669","FBgn0038299","C05E4.3","WBGene00005642",2
"3670","FBgn0038299","C28G1.2","WBGene00016187",2
"3671","FBgn0038299","C05E4.1","WBGene00005643",2
"3672","FBgn0038299","Y32G9A.4","WBGene00005644",2
"3673","FBgn0026056","T23G11.5","WBGene00011970",1
"3674","FBgn0037962","F41G4.1","WBGene00018307",1
"3675","FBgn0034968","JC8.3","WBGene00004424",1
"3676","FBgn0029503","Y110A7A.13","WBGene00000502",1
"3677","FBgn0034795","F39B2.4","WBGene00006349",1
"3678","FBgn0261955","T20G5.2","WBGene00000833",2
"3679","FBgn0037988","T20G5.2","WBGene00000833",2
"3680","FBgn0030790","C48B6.3","WBGene00016741",1
"3681","FBgn0004698","Y76B12C.2","WBGene00022296",1
"3682","FBgn0034956","ZK637.1","WBGene00014021",1
"3683","FBgn0038011","C03E10.5","WBGene00007282",1
"3684","FBgn0001180","F13D11.2","WBGene00001824",1
"3685","FBgn0016920","Y71A12B.4","WBGene00006616",1
"3686","FBgn0260487","Y32G9A.6","WBGene00021304",1
"3687","FBgn0023507","F54D5.12","WBGene00010055",1
"3688","FBgn0033357","ZK652.2","WBGene00022783",1
"3689","FBgn0032919","T26G10.1","WBGene00012059",1
"3690","FBgn0039487","F07C3.7","WBGene00000003",2
"3691","FBgn0002778","F07C3.7","WBGene00000003",2
"3692","FBgn0039844","F52H2.2","WBGene00000004",1
"3693","FBgn0039844","F27C8.1","WBGene00000002",1
"3694","FBgn0031145","R05D11.3","WBGene00004305",2
"3695","FBgn0032680","R05D11.3","WBGene00004305",2
"3696","FBgn0037202","T16H12.4","WBGene00011814",1
"3697","FBgn0027053","B0547.1","WBGene00000817",1
"3698","FBgn0039305","Y48C3A.16","WBGene00012996",1
"3699","FBgn0038851","C27C12.6","WBGene00007776",1
"3700","FBgn0085436","F57B9.2","WBGene00002845",1
"3701","FBgn0032600","B0035.1","WBGene00007105",1
"3702","FBgn0036974","T05H4.6","WBGene00020269",1
"3703","FBgn0028527","C26B9.1","WBGene00016131",1
"3704","FBgn0032042","F54D12.6","WBGene00018819",1
"3705","FBgn0033246","W09B6.1","WBGene00004076",1
"3706","FBgn0033246","T28F3.5","WBGene00012131",1
"3707","FBgn0031782","Y105E8A.8","WBGene00013669",1
"3708","FBgn0004867","C49H3.11","WBGene00004471",1
"3709","FBgn0050392","K08E4.2","WBGene00010666",1
"3710","FBgn0050392","F49D11.9","WBGene00018632",1
"3711","FBgn0052373","C50H2.3","WBGene00003173",1
"3712","FBgn0052373","ZK783.1","WBGene00022816",1
"3713","FBgn0051999","F56H11.1","WBGene00001403",1
"3714","FBgn0038678","Y66H1A.3","WBGene00022045",1
"3715","FBgn0024804","T07D4.4","WBGene00011580",1
"3716","FBgn0052281","C53A5.17","WBGene00194707",1
"3717","FBgn0039182","C16A3.3","WBGene00002850",1
"3718","FBgn0004456","F54G8.3","WBGene00002081",4
"3719","FBgn0003328","F54G8.3","WBGene00002081",4
"3720","FBgn0034005","F54G8.3","WBGene00002081",4
"3721","FBgn0034880","F54G8.3","WBGene00002081",4
"3722","FBgn0052672","C32D5.9","WBGene00002980",2
"3723","FBgn0038539","C32D5.9","WBGene00002980",2
"3724","FBgn0031224","Y37D8A.21","WBGene00012558",1
"3725","FBgn0032467","T05H10.5","WBGene00006734",1
"3726","FBgn0030850","D2013.10","WBGene00006520",1
"3727","FBgn0020294","F53B2.6","WBGene00001820",1
"3728","FBgn0031287","F56G4.4","WBGene00010159",1
"3729","FBgn0037081","Y65B4A.1","WBGene00022025",1
"3730","FBgn0035140","Y37E11B.3","WBGene00021376",1
"3731","FBgn0015789","T23H2.5","WBGene00004273",1
"3732","FBgn0260960","D2024.3","WBGene00001241",1
"3733","FBgn0260960","C40H1.4","WBGene00001242",1
"3734","FBgn0260960","Y53F4B.2","WBGene00001247",1
"3735","FBgn0034259","F59A2.3","WBGene00010303",1
"3736","FBgn0036030","R151.2","WBGene00020107",1
"3737","FBgn0039790","W04G3.5","WBGene00012258",1
"3738","FBgn0039626","K07C5.6","WBGene00010629",1
"3739","FBgn0036397","F35H10.7","WBGene00018072",1
"3740","FBgn0035722","C35D10.5","WBGene00016442",1
"3741","FBgn0261793","F39H11.2","WBGene00006577",1
"3742","FBgn0039743","C06A5.3","WBGene00015501",1
"3743","FBgn0004373","F35H12.4","WBGene00018076",1
"3744","FBgn0038903","C15H11.8","WBGene00007616",1
"3745","FBgn0037880","ZK1128.1","WBGene00014227",1
"3746","FBgn0002183","F55A3.7","WBGene00018852",1
"3747","FBgn0002183","F55A3.3","WBGene00018849",1
"3748","FBgn0040211","W06D4.1","WBGene00001843",1
"3749","FBgn0035693","R06A4.4","WBGene00002076",2
"3750","FBgn0024921","R06A4.4","WBGene00002076",2
"3751","FBgn0037939","Y66H1A.4","WBGene00022046",2
"3752","FBgn0011571","Y66H1A.4","WBGene00022046",2
"3753","FBgn0034472","B0024.9","WBGene00007099",3
"3754","FBgn0035334","B0024.9","WBGene00007099",3
"3755","FBgn0024986","B0024.9","WBGene00007099",3
"3756","FBgn0050118","W08A12.1","WBGene00021078",1
"3757","FBgn0027103","C33H5.9","WBGene00016376",1
"3758","FBgn0030239","Y57G11C.3","WBGene00013301",1
"3759","FBgn0033631","F55H2.1","WBGene00004933",1
"3760","FBgn0036877","F13D11.1","WBGene00017427",5
"3761","FBgn0036875","F13D11.1","WBGene00017427",5
"3762","FBgn0036876","F13D11.1","WBGene00017427",5
"3763","FBgn0038912","F13D11.1","WBGene00017427",5
"3764","FBgn0000032","F13D11.1","WBGene00017427",5
"3765","FBgn0003139","F44B9.9","WBGene00018410",1
"3766","FBgn0003139","C34C12.3","WBGene00007922",1
"3767","FBgn0031589","Y54G2A.17","WBGene00021882",1
"3768","FBgn0036813","Y55F3AM.4","WBGene00021922",1
"3769","FBgn0037843","C05D11.3","WBGene00006515",1
"3770","FBgn0027783","M106.1","WBGene00003367",1
"3771","FBgn0033698","H04D03.3","WBGene00010364",1
"3772","FBgn0033698","D2045.2","WBGene00008422",1
"3773","FBgn0003279","B0041.4","WBGene00004415",1
"3774","FBgn0020756","F33H2.5","WBGene00009368",1
"3775","FBgn0039179","B0001.4","WBGene00007089",1
"3776","FBgn0027599","T03F6.2","WBGene00001035",1
"3777","FBgn0032210","F40F12.5","WBGene00009594",1
"3778","FBgn0053881","ZK131.4","WBGene00001884",2
"3779","FBgn0053869","ZK131.4","WBGene00001884",2
"3780","FBgn0053885","C50F4.7","WBGene00001911",2
"3781","FBgn0053879","C50F4.7","WBGene00001911",2
"3782","FBgn0002948","F22F4.3","WBGene00002224",1
"3783","FBgn0037092","F13H8.4","WBGene00017437",1
"3784","FBgn0033155","F42A9.2","WBGene00003034",1
"3785","FBgn0035106","Y53G8AR.2","WBGene00021810",1
"3787","FBgn0030055","Y56A3A.16","WBGene00013235",1
"3788","FBgn0031844","T22B7.7","WBGene00020674",4
"3789","FBgn0031844","T07D3.3","WBGene00020306",4
"3790","FBgn0031844","F57F4.1","WBGene00019015",4
"3791","FBgn0031844","T07D3.9","WBGene00020311",4
