S1,S2,Value
FBgn0050438,ZC455.3,1
FBgn0050438,AC3.7,1
FBgn0050438,AC3.8,1
FBgn0050438,C17G1.3,1
FBgn0050438,C33A12.6,1
FBgn0050438,K08B4.4,1
FBgn0050438,K08B4.3,1
FBgn0050438,C08F11.8,1
FBgn0050438,C49A9.8,1
FBgn0086691,C23G10.2,1
FBgn0026313,C09H6.2,1
FBgn0052677,C09H6.2,1
FBgn0025595,F54D7.3,1
FBgn0025595,C15H11.2,1
FBgn0025595,ZC374.1,1
FBgn0025595,C41G11.4,1
FBgn0025595,H22D07.1,1
FBgn0025595,F13D2.2,1
FBgn0025595,F13D2.3,1
FBgn0025595,Y105C5A.23,1
FBgn0085451,Y108G3AL.7,1
FBgn0032224,Y45F10A.4,1
FBgn0020510,B0336.6,1
FBgn0037475,F48D6.3,1
FBgn0024249,T14F9.5,1
FBgn0003270,T14F9.5,1
FBgn0010433,T14F9.5,1
FBgn0015550,Y69A2AR.29,1
FBgn0031493,W03F9.10,1
FBgn0028331,C36E8.3,1
FBgn0261789,C52E4.3,1
FBgn0037371,F25G6.2,1
FBgn0002284,C02F5.9,1
FBgn0035206,F26A3.1,1
FBgn0035206,F11C1.4,1
FBgn0261794,H16O14.1,1
FBgn0032689,T04B8.5,1
FBgn0052099,T04G9.4,1
FBgn0052099,T28H10.1,1
FBgn0037512,C16C10.1,1
FBgn0031039,C16C10.1,1
FBgn0036847,C11H1.7,1
FBgn0033842,F59A2.4,1
FBgn0035171,R05D7.3,1
FBgn0038640,ZK632.2,1
FBgn0001179,Y66D12A.15,1
FBgn0051739,F10C2.6,1
FBgn0261617,C29F9.6,1
FBgn0261617,C29F9.5,1
FBgn0261617,F40F12.7,1
FBgn0261617,K03H1.10,1
FBgn0261617,R10E11.1,1
FBgn0020909,ZK1127.5,1
FBgn0024920,Y110A7A.4,1
FBgn0001991,C48A7.1,1
FBgn0036926,F10G8.5,1
FBgn0033935,Y57A10A.20,1
FBgn0028982,T04A8.14,1
FBgn0259243,R07E4.6,1
FBgn0001125,C14F11.1,1
FBgn0001125,C44E4.3,1
FBgn0262511,Y38F2AL.3,1
FBgn0030768,F10C5.2,1
FBgn0036686,Y61A9LA.10,1
FBgn0037298,F22F7.2,1
FBgn0037298,Y50D4B.2,1
FBgn0037298,F22F7.1,1
FBgn0038038,F22F7.2,1
FBgn0038038,Y50D4B.2,1
FBgn0038038,F22F7.1,1
FBgn0038474,W04D2.5,1
FBgn0031550,F59C6.7,1
FBgn0038464,W07E6.4,1
FBgn0003638,B0336.9,1
FBgn0034372,H06H21.6,1
FBgn0038675,Y73E7A.1,1
FBgn0035236,F40E10.6,1
FBgn0043012,F02E8.3,1
FBgn0039132,F29G9.3,1
FBgn0015546,H26D21.2,1
FBgn0051126,T12D8.10,1
FBgn0051126,K11H12.1,1
FBgn0036125,C02C2.5,1
FBgn0035110,B0513.2,1
FBgn0039427,Y57G11C.33,1
FBgn0032340,Y44E3A.6,1
FBgn0050077,T20G5.10,1
FBgn0025582,B0511.10,1
FBgn0004567,T14G12.4,1
FBgn0003430,T14G12.4,1
FBgn0039937,C25A1.2,1
FBgn0045759,F26B1.7,1
FBgn0011638,C44E4.4,1
FBgn0000382,Y38C1AB.4,1
FBgn0000382,Y38C1AB.8,1
FBgn0031799,Y38C1AB.4,1
FBgn0031799,Y38C1AB.8,1
FBgn0023171,F59A6.6,1
FBgn0023522,Y48E1C.2,1
FBgn0037252,C04A2.7,1
FBgn0039140,Y47G6A.27,1
FBgn0039140,C47C12.4,1
FBgn0039140,K08F11.5,1
FBgn0029818,F33D11.9,1
FBgn0039742,ZK757.2,1
FBgn0034908,T05H4.14,1
FBgn0015527,ZK945.3,1
FBgn0262010,Y57E12AR.1,1
FBgn0262009,Y57E12AR.1,1
FBgn0033737,K07F5.13,1
FBgn0024558,B0491.7,1
FBgn0037050,C32E8.7,1
FBgn0051716,C49H3.5,1
FBgn0032971,T21C9.12,1
FBgn0035124,T21C9.12,1
FBgn0250874,T21C9.12,1
FBgn0037380,F38B7.3,1
FBgn0032488,F53F8.5,1
FBgn0039861,T22A3.5,1
FBgn0052000,K07E3.7,1
FBgn0052000,W08D2.5,1
FBgn0052000,Y59H11AR.2,1
FBgn0036920,ZC97.1,1
FBgn0030620,ZC97.1,1
FBgn0000057,Y73E7A.9,1
FBgn0036039,F30F8.10,1
FBgn0038009,F12A10.7,1
FBgn0038009,B0213.3,1
FBgn0038009,F12A10.9,1
FBgn0040900,F12A10.7,1
FBgn0040900,B0213.3,1
FBgn0040900,F12A10.9,1
FBgn0038528,F12A10.7,1
FBgn0038528,B0213.3,1
FBgn0038528,F12A10.9,1
FBgn0011584,C18E9.2,1
FBgn0039589,C55A6.10,1
FBgn0036487,Y110A7A.8,1
FBgn0030869,F39B2.5,1
FBgn0030974,F32B4.4,1
FBgn0011761,W01B11.6,1
FBgn0029752,W01B11.6,1
FBgn0036442,Y44E3A.3,1
FBgn0035631,Y55F3AR.2,1
FBgn0035631,Y54E10A.3,1
FBgn0001977,T20B12.7,1
FBgn0020305,C05C8.2,1
FBgn0033891,K09E4.3,1
FBgn0036988,C03A3.2,1
FBgn0036671,R08E3.3,1
FBgn0033401,K07C11.9,1
FBgn0030581,K03E6.7,1
FBgn0030581,C03C10.4,1
FBgn0058042,F15D3.7,1
FBgn0033226,C37H5.3,1
FBgn0033226,C37H5.2,1
FBgn0033226,C25A1.12,1
FBgn0028473,T07A9.9,1
FBgn0038272,C09G5.2,1
FBgn0036059,R11A5.2,1
FBgn0032195,F54C9.6,1
FBgn0005658,T08H4.3,1
FBgn0005660,C42D8.4,1
FBgn0032261,R02F2.9,1
FBgn0030789,F41G3.14,1
FBgn0038436,T07D1.1,1
FBgn0038436,F57F5.2,1
FBgn0038435,T07D1.1,1
FBgn0038435,F57F5.2,1
FBgn0038295,T07D1.1,1
FBgn0038295,F57F5.2,1
FBgn0020368,Y49A3A.2,1
FBgn0020367,Y49A3A.2,1
FBgn0032464,Y49A3A.2,1
FBgn0037847,F44E2.6,1
FBgn0035364,F45E4.3,1
FBgn0035364,T10A3.1,1
FBgn0053547,F45E4.3,1
FBgn0053547,T10A3.1,1
FBgn0038934,ZC308.1,1
FBgn0260780,ZC308.1,1
FBgn0260049,K08F9.2,1
FBgn0260049,C04F6.4,1
FBgn0001961,Y79H2A.6,1
FBgn0086447,F58A4.9,1
FBgn0036118,Y73B6BL.30,1
FBgn0031696,R06C7.8,1
FBgn0025458,R06C7.8,1
FBgn0036516,Y71G12B.15,1
FBgn0052706,F57B10.8,1
FBgn0030085,F57B10.8,1
FBgn0052708,F57B10.8,1
FBgn0085521,F57B10.8,1
FBgn0085693,F57B10.8,1
FBgn0030524,F57B10.8,1
FBgn0038810,F08D12.1,1
FBgn0010341,R07G3.1,1
FBgn0010333,K03D3.10,1
FBgn0010333,C09G12.8,1
FBgn0014011,K03D3.10,1
FBgn0014011,C09G12.8,1
FBgn0039532,C35C5.4,1
FBgn0035401,F09E5.2,1
FBgn0035401,T23F2.1,1
FBgn0032409,Y106G6E.5,1
FBgn0036696,Y66A7A.2,1
FBgn0036616,C32E8.3,1
FBgn0036056,C32E8.3,1
FBgn0013762,T27E9.3,1
FBgn0039639,R10D12.12,1
FBgn0261649,K09F5.6,1
FBgn0003435,C44B7.2,1
FBgn0011224,D2089.4,1
FBgn0036008,F56A8.3,1
FBgn0035136,D1081.8,1
FBgn0035208,R02F2.5,1
FBgn0011774,Y47D3A.4,1
FBgn0014189,C26D10.2,1
FBgn0022959,F33A8.3,1
FBgn0022959,Y39A1C.3,1
FBgn0022959,M01E11.5,1
FBgn0022959,F46F11.2,1
FBgn0039505,T07A5.6,1
FBgn0039159,F33D4.8,1
FBgn0035001,C04A11.3,1
FBgn0086736,T19A5.2,1
FBgn0021768,F53A2.4,1
FBgn0042112,K11H3.6,1
FBgn0037780,M18.6,1
FBgn0023512,D2085.3,1
FBgn0085443,C48G7.3,1
FBgn0051935,F20D1.6,1
FBgn0030037,K01D12.6,1
FBgn0029088,F56H1.1,1
FBgn0029088,F07C3.1,1
FBgn0036277,T10G3.6,1
FBgn0032250,Y47D3A.27,1
FBgn0029117,H06I04.2,1
FBgn0038183,ZK1127.4,1
FBgn0067102,T06C12.10,1
FBgn0067102,F59G1.1,1
FBgn0067102,F20B4.6,1
FBgn0034218,F53E2.1,1
FBgn0030944,F53E2.1,1
FBgn0000413,M05B5.5,1
FBgn0002673,ZK637.11,1
FBgn0002673,F16B4.8,1
FBgn0002673,K06A5.7,1
FBgn0002673,R05H5.2,1
FBgn0003525,ZK637.11,1
FBgn0003525,F16B4.8,1
FBgn0003525,K06A5.7,1
FBgn0003525,R05H5.2,1
FBgn0026439,T22E5.2,1
FBgn0035522,C29E6.1,1
FBgn0052642,K11D12.1,1
FBgn0037022,C43H6.1,1
FBgn0029892,Y43F4B.9,1
FBgn0051852,Y71H2B.3,1
FBgn0259483,C30A5.3,1
FBgn0035060,ZK1248.3,1
FBgn0032089,C26E6.3,1
FBgn0031047,C26E6.3,1
FBgn0039887,C26E6.3,1
FBgn0260635,K11D12.9,1
FBgn0024555,F41E6.4,1
FBgn0036691,C50D2.9,1
FBgn0039300,F56E10.4,1
FBgn0032820,K07A3.1,1
FBgn0032194,T05E8.3,1
FBgn0052533,Y37E11AM.1,1
FBgn0086444,C04H5.6,1
FBgn0262116,C46G7.1,1
FBgn0262116,F49C12.12,1
FBgn0034700,C46G7.1,1
FBgn0034700,F49C12.12,1
FBgn0041775,Y18D10A.17,1
FBgn0045862,W08E3.2,1
FBgn0039186,W08E3.2,1
FBgn0031459,F21C3.3,1
FBgn0011455,C25H3.9,1
FBgn0000258,B0205.7,1
FBgn0027791,K10G9.3,1
FBgn0037647,F57C12.6,1
FBgn0037647,F57C12.2,1
FBgn0037647,T24F1.1,1
FBgn0030500,K10G6.4,1
FBgn0026149,C28H8.1,1
FBgn0005777,Y39B6A.2,1
FBgn0004366,F23H11.8,1
FBgn0030738,F13B12.1,1
FBgn0003942,F34H10.1,1
FBgn0003942,K08C9.7,1
FBgn0003942,H06I04.4,1
FBgn0028697,K11H12.2,1
FBgn0034491,C46C11.1,1
FBgn0039165,ZK1067.2,1
FBgn0051368,Y80D3A.2,1
FBgn0029764,C56G2.1,1
FBgn0037328,F10E7.7,1
FBgn0259749,K06B9.2,1
FBgn0259749,C36A4.4,1
FBgn0052442,R05H5.5,1
FBgn0039650,ZK909.3,1
FBgn0032244,F44B9.8,1
FBgn0034656,F36F2.5,1
FBgn0261612,ZC84.2,1
FBgn0011708,F55A11.2,1
FBgn0259697,C12D8.5,1
FBgn0001197,R08C7.3,1
FBgn0015790,W04G5.2,1
FBgn0015790,F53G12.1,1
FBgn0014009,F53F10.4,1
FBgn0014009,F11A5.4,1
FBgn0014009,F11A5.3,1
FBgn0015791,K09A9.2,1
FBgn0033540,Y111B2A.17,1
FBgn0051158,Y55D9A.1,1
FBgn0002938,F43C9.3,1
FBgn0040228,Y71F9AL.14,1
FBgn0037898,T16G1.10,1
FBgn0035626,F02E9.2,1
FBgn0030858,ZC376.6,1
FBgn0038463,R08D7.7,1
FBgn0031279,R08D7.7,1
FBgn0259734,C36E8.4,1
FBgn0034270,D2085.6,1
FBgn0033873,Y40H7A.10,1
FBgn0033873,R07E3.1,1
FBgn0033873,C32B5.7,1
FBgn0033873,C32B5.13,1
FBgn0033873,K02E7.10,1
FBgn0033873,Y71H2AR.2,1
FBgn0033873,Y71H2AM.25,1
FBgn0033873,R09F10.1,1
FBgn0034709,F26E4.3,1
FBgn0030521,C25B8.3,1
FBgn0030521,F57F5.1,1
FBgn0030521,Y65B4A.2,1
FBgn0261641,ZK1127.9,1
FBgn0261641,ZK1127.6,1
FBgn0031492,ZK1098.1,1
FBgn0036462,Y46H3A.7,1
FBgn0023458,F54E4.1,1
FBgn0037364,ZK669.5,1
FBgn0004242,F42G9.7,1
FBgn0004242,Y75B7AL.3,1
FBgn0004242,F31E8.2,1
FBgn0032032,K08B12.3,1
FBgn0035592,K10B2.4,1
FBgn0037467,C06G3.9,1
FBgn0031263,C41G7.9,1
FBgn0033901,C15C7.7,1
FBgn0037541,C13F10.4,1
FBgn0086689,F22E12.4,1
FBgn0037242,D2089.2,1
FBgn0037242,M110.3,1
FBgn0039498,D2089.2,1
FBgn0039498,M110.3,1
FBgn0035753,Y45F10D.12,1
FBgn0028410,C44H4.6,1
FBgn0028410,R03D7.5,1
FBgn0028410,F21F3.2,1
FBgn0028410,Y106G6D.4,1
FBgn0028410,Y106G6E.1,1
FBgn0028410,C36B1.10,1
FBgn0046332,Y18D10A.5,1
FBgn0003371,Y18D10A.5,1
FBgn0026250,H06H21.3,1
FBgn0038834,C26F1.4,1
FBgn0016978,K04G7.10,1
FBgn0037073,F10G7.1,1
FBgn0024985,C32A3.3,1
FBgn0031304,F20D1.2,1
FBgn0085385,ZC581.9,1
FBgn0032030,C33H5.6,1
FBgn0032030,C33H5.7,1
FBgn0031431,C33H5.6,1
FBgn0031431,C33H5.7,1
FBgn0027903,F12F6.7,1
FBgn0004832,K07G5.2,1
FBgn0030851,Y41D4B.11,1
FBgn0039655,Y69A2AL.2,1
FBgn0039655,C03H5.4,1
FBgn0039655,C07E3.9,1
FBgn0015737,C08E8.2,1
FBgn0015737,F57C2.5,1
FBgn0015737,T12G3.4,1
FBgn0041780,C08E8.2,1
FBgn0041780,F57C2.5,1
FBgn0041780,T12G3.4,1
FBgn0034008,ZK1320.7,1
FBgn0010591,Y66H1B.4,1
FBgn0010591,Y104H12D.3,1
FBgn0010591,B0222.4,1
FBgn0035111,F48E8.6,1
FBgn0039183,C04G2.6,1
FBgn0032727,T13G4.4,1
FBgn0032726,T13G4.4,1
FBgn0039648,F23B12.4,1
FBgn0032891,F38G1.1,1
FBgn0035831,C15C6.4,1
FBgn0037312,R12E2.13,1
FBgn0000568,W05B5.3,1
FBgn0000448,C01H6.5,1
FBgn0033482,C02E11.1,1
FBgn0038735,C56A3.6,1
FBgn0260990,W07G4.3,1
FBgn0025549,M142.1,1
FBgn0030114,R12E2.1,1
FBgn0040230,R12E2.1,1
FBgn0031299,F49C5.4,1
FBgn0033924,B0495.5,1
FBgn0035020,C34C12.4,1
FBgn0003275,C06A1.5,1
FBgn0032525,Y22D7AL.5,1
FBgn0011244,Y22D7AL.5,1
FBgn0015245,Y22D7AL.5,1
FBgn0031728,Y22D7AL.5,1
FBgn0021818,R01H10.8,1
FBgn0035848,D2096.4,1
FBgn0031713,K07B1.2,1
FBgn0039450,F57A8.2,1
FBgn0029755,T01B7.5,1
FBgn0010051,F33D4.2,1
FBgn0035657,F26B1.3,1
FBgn0035657,F53B2.5,1
FBgn0035657,T19B10.7,1
FBgn0014930,R10H10.6,1
FBgn0261602,B0250.1,1
FBgn0050441,Y110A7A.20,1
FBgn0024308,D1014.8,1
FBgn0024308,Y74C9A.4,1
FBgn0011764,F47D12.4,1
FBgn0027093,F26F4.10,1
FBgn0037526,C29H12.1,1
FBgn0261108,D2007.5,1
FBgn0031832,ZK858.7,1
FBgn0000100,F25H2.10,1
FBgn0038552,T26A5.4,1
FBgn0036984,B0454.6,1
FBgn0036984,F23F1.6,1
FBgn0036984,C50D2.2,1
FBgn0000377,M03F8.3,1
FBgn0027951,T27C4.4,1
FBgn0027539,R05D3.2,1
FBgn0037698,B0280.4,1
FBgn0024244,C34H3.2,1
FBgn0023506,F42H10.7,1
FBgn0038816,T27C10.6,1
FBgn0031497,C47E12.1,1
FBgn0002968,Y54G2A.25,1
FBgn0002968,C18F3.2,1
FBgn0037240,C33F10.5,1
FBgn0035298,C05C10.3,1
FBgn0031677,T06A10.3,1
FBgn0010397,DY3.2,1
FBgn0002525,DY3.2,1
FBgn0259222,Y73B6BL.31,1
FBgn0033212,K07G5.1,1
FBgn0039004,C29E4.4,1
FBgn0260972,F55F3.1,1
FBgn0260972,Y47D3A.15,1
FBgn0262483,Y39A3CL.2,1
FBgn0037730,F56F4.5,1
FBgn0028491,C06G8.2,1
FBgn0028491,K04E7.2,1
FBgn0015565,C06G8.2,1
FBgn0015565,K04E7.2,1
FBgn0039213,Y54G2A.2,1
FBgn0037402,ZK970.4,1
FBgn0262512,ZK970.4,1
FBgn0030440,ZK970.4,1
FBgn0036224,F23F1.8,1
FBgn0028685,F23F1.8,1
FBgn0034598,D1007.7,1
FBgn0000482,W06B4.3,1
FBgn0037351,M01F1.2,1
FBgn0259200,T23G5.6,1
FBgn0035760,F13E9.13,1
FBgn0261086,D2023.3,1
FBgn0037883,K01H12.1,1
FBgn0019957,K04G7.4,1
FBgn0042710,F14B4.2,1
FBgn0042711,F14B4.2,1
FBgn0001186,F14B4.2,1
FBgn0001187,F14B4.2,1
FBgn0001281,F36A2.8,1
FBgn0041102,F36A2.8,1
FBgn0040963,F36A2.8,1
FBgn0001280,F36A2.8,1
FBgn0015949,Y32F6A.3,1
FBgn0015949,T15H9.6,1
FBgn0015949,F43G6.5,1
FBgn0040283,F28B3.7,1
FBgn0040283,C44C10.4,1
FBgn0040283,C44C10.5,1
FBgn0030208,D2092.2,1
FBgn0032014,B0024.13,1
FBgn0039765,T14B4.2,1
FBgn0052438,C27A2.1,1
FBgn0014163,Y57A10A.26,1
FBgn0014163,F53G12.9,1
FBgn0039760,F25H8.5,1
FBgn0039760,K08H10.1,1
FBgn0031375,Y38H8A.5,1
FBgn0002573,F45B8.4,1
FBgn0036104,C46F11.4,1
FBgn0030631,F53H1.1,1
FBgn0039058,C30F8.2,1
FBgn0028665,C30F8.2,1
FBgn0039527,C08G9.2,1
FBgn0038110,C37C3.8,1
FBgn0033685,R10F2.5,1
FBgn0026873,C55B7.9,1
FBgn0033465,C05D11.12,1
FBgn0038827,Y41E3.9,1
FBgn0032002,F49E8.4,1
FBgn0032002,C47D2.2,1
FBgn0032003,F49E8.4,1
FBgn0032003,C47D2.2,1
FBgn0032001,F49E8.4,1
FBgn0032001,C47D2.2,1
FBgn0259736,F36G3.1,1
FBgn0026369,D1022.7,1
FBgn0050263,Y51H7BR.7,1
FBgn0050263,Y97E10AL.1,1
FBgn0033252,R08E3.4,1
FBgn0033252,ZK616.10,1
FBgn0033252,F26F4.8,1
FBgn0033252,F12E12.5,1
FBgn0033252,C46E10.9,1
FBgn0034829,B0464.2,1
FBgn0039751,F09E5.8,1
FBgn0034231,F15H10.3,1
FBgn0034231,Y48G1C.12,1
FBgn0039588,F46B6.6,1
FBgn0031600,W02D9.2,1
FBgn0035228,W09D10.4,1
FBgn0029949,W09D10.4,1
FBgn0039694,W09D10.4,1
FBgn0013998,H15N14.2,1
FBgn0051495,H15N14.2,1
FBgn0000346,H15N14.2,1
FBgn0028436,Y17G9B.5,1
FBgn0003308,B0222.9,1
FBgn0003308,F15E6.6,1
FBgn0003308,F55B11.1,1
FBgn0014343,C36F7.1,1
FBgn0032407,F54F2.8,1
FBgn0035553,Y39G10AR.17,1
FBgn0030569,Y39G10AR.17,1
FBgn0031617,Y39G10AR.17,1
FBgn0087040,C47B2.3,1
FBgn0087040,F26E4.8,1
FBgn0038565,C47B2.3,1
FBgn0038565,F26E4.8,1
FBgn0034723,F41D9.3,1
FBgn0029823,C05D11.11,1
FBgn0030753,C01G5.6,1
FBgn0010504,F44D12.4,1
FBgn0010504,C35D10.2,1
FBgn0037478,Y75B8A.14,1
FBgn0032450,K04G2.3,1
FBgn0260441,F54E7.2,1
FBgn0030894,C06A6.3,1
FBgn0032204,C56C10.7,1
FBgn0031361,C34E10.10,1
FBgn0035944,C34D4.4,1
FBgn0029897,Y48G8AL.8,1
FBgn0034363,ZK637.2,1
FBgn0030071,ZK637.2,1
FBgn0034362,ZK637.2,1
FBgn0025724,E03H4.8,1
FBgn0025724,F38E11.5,1
FBgn0034802,K08D12.3,1
FBgn0038285,C17G1.6,1
FBgn0038285,Y95B8A.1,1
FBgn0038285,K04E7.3,1
FBgn0038285,T24A11.3,1
FBgn0038285,R151.5,1
FBgn0038285,C26C6.3,1
FBgn0038285,F57C12.1,1
FBgn0038285,F40E10.1,1
FBgn0038285,F58A6.4,1
FBgn0038285,R10H1.5,1
FBgn0038285,F42A10.8,1
FBgn0038285,T23F4.4,1
FBgn0038285,F58B4.1,1
FBgn0038285,T02B11.7,1
FBgn0038285,T11F9.3,1
FBgn0038285,F46C5.3,1
FBgn0038285,F20G2.4,1
FBgn0038285,K03B8.5,1
FBgn0038285,T11F9.6,1
FBgn0038285,T11F9.5,1
FBgn0038285,K03B8.2,1
FBgn0038285,K03B8.3,1
FBgn0038285,K03B8.1,1
FBgn0037395,K06A4.1,1
FBgn0037395,F56A4.1,1
FBgn0035704,C42C1.4,1
FBgn0034877,F54D8.2,1
FBgn0050093,F54D8.2,1
FBgn0036830,F54D8.2,1
FBgn0030395,R148.1,1
FBgn0033520,Y38C1AA.11,1
FBgn0033521,Y38C1AA.11,1
FBgn0033518,Y38C1AA.11,1
FBgn0031479,Y38C1AA.11,1
FBgn0033948,F33A8.4,1
FBgn0030039,F58A4.6,1
FBgn0260460,M88.2,1
FBgn0011726,C38C3.5,1
FBgn0030951,C38C3.5,1
FBgn0033810,F46B6.12,1
FBgn0031873,Y105E8B.7,1
FBgn0031873,M04B2.3,1
FBgn0029980,T01G1.4,1
FBgn0050431,F08C6.7,1
FBgn0038454,R11A8.2,1
FBgn0016975,C27H6.1,1
FBgn0011289,K11D12.2,1
FBgn0032901,C31H2.1,1
FBgn0015000,Y48E1B.3,1
FBgn0028546,C34C12.5,1
FBgn0036184,C27F2.10,1
FBgn0032987,C14B9.7,1
FBgn0038046,R11H6.5,1
FBgn0025336,K11B4.1,1
FBgn0032291,C54C6.6,1
FBgn0051184,Y62E10A.12,1
FBgn0033206,C26B2.1,1
FBgn0033269,H37A05.1,1
FBgn0000147,B0207.4,1
FBgn0029857,Y102E9.2,1
FBgn0051150,K07H8.6,1
FBgn0051150,F59D8.1,1
FBgn0051150,F59D8.2,1
FBgn0051150,C04F6.1,1
FBgn0051150,C42D8.2,1
FBgn0051150,K09F5.2,1
FBgn0051703,F25B3.6,1
FBgn0051702,F25B3.6,1
FBgn0040356,F25B3.6,1
FBgn0034722,F25B3.6,1
FBgn0053105,T08D2.1,1
FBgn0053105,Y60A3A.9,1
FBgn0069242,T08D2.1,1
FBgn0069242,Y60A3A.9,1
FBgn0033995,C11H1.2,1
FBgn0033995,Y75B8A.16,1
FBgn0037841,Y41D4B.12,1
FBgn0086908,R05D3.11,1
FBgn0030063,C16C10.2,1
FBgn0032732,B0334.15,1
FBgn0035471,C15F1.6,1
FBgn0003206,C44C11.1,1
FBgn0017549,T26C12.3,1
FBgn0031068,F56C11.3,1
FBgn0010380,Y71H2B.10,1
FBgn0033548,C25A1.6,1
FBgn0040078,C27H6.2,1
FBgn0039857,R151.3,1
FBgn0013750,Y116A8C.12,1
FBgn0051961,Y71H2AM.24,1
FBgn0024734,T19D2.2,1
FBgn0024182,ZK1236.1,1
FBgn0043070,Y48G10A.3,1
FBgn0027608,ZK1073.1,1
FBgn0029846,C54D2.5,1
FBgn0002707,C47D12.8,1
FBgn0033199,F43G9.2,1
FBgn0027101,F49E11.1,1
FBgn0040384,M01G5.3,1
FBgn0031266,T08A11.2,1
FBgn0037845,C50E3.16,1
FBgn0037845,F37B4.7,1
FBgn0037845,C06H2.4,1
FBgn0037846,C50E3.16,1
FBgn0037846,F37B4.7,1
FBgn0037846,C06H2.4,1
FBgn0032449,C50E3.16,1
FBgn0032449,F37B4.7,1
FBgn0032449,C06H2.4,1
FBgn0039303,F46C5.8,1
FBgn0034803,T07F12.2,1
FBgn0031312,F37B12.3,1
FBgn0002736,R09B3.5,1
FBgn0035713,C41C4.6,1
FBgn0035713,K02F2.4,1
FBgn0035713,Y38A8.3,1
FBgn0085644,C41C4.6,1
FBgn0085644,K02F2.4,1
FBgn0085644,Y38A8.3,1
FBgn0030420,C41C4.6,1
FBgn0030420,K02F2.4,1
FBgn0030420,Y38A8.3,1
FBgn0030065,M88.4,1
FBgn0040340,C24F3.1,1
FBgn0035374,Y39B6A.39,1
FBgn0036862,CC8.2,1
FBgn0036428,H18N23.2,1
FBgn0003345,F28B12.2,1
FBgn0003415,K08F8.6,1
FBgn0010409,E04A4.8,1
FBgn0035473,W10D9.5,1
FBgn0038585,Y54E10A.10,1
FBgn0038039,M18.8,1
FBgn0035970,M18.8,1
FBgn0039489,C43H6.7,1
FBgn0039489,F59C6.2,1
FBgn0039531,F43H9.1,1
FBgn0038049,F43H9.1,1
FBgn0031092,F58A6.1,1
FBgn0033879,T05G5.6,1
FBgn0033879,Y105E8A.4,1
FBgn0034191,F38H4.8,1
FBgn0032169,C33H5.17,1
FBgn0034650,F40F9.7,1
FBgn0032151,F09E8.7,1
FBgn0086778,F09E8.7,1
FBgn0032151,T08G11.5,1
FBgn0086778,T08G11.5,1
FBgn0032151,K11G12.7,1
FBgn0086778,K11G12.7,1
FBgn0032151,K11G12.2,1
FBgn0086778,K11G12.2,1
FBgn0032151,C35C5.5,1
FBgn0086778,C35C5.5,1
FBgn0032151,ZC504.2,1
FBgn0086778,ZC504.2,1
FBgn0032151,R01E6.4,1
FBgn0086778,R01E6.4,1
FBgn0032151,ZK973.5,1
FBgn0086778,ZK973.5,1
FBgn0032151,F27B3.2,1
FBgn0086778,F27B3.2,1
FBgn0032151,F18G5.4,1
FBgn0086778,F18G5.4,1
FBgn0250786,H06O01.2,1
FBgn0262519,F26F12.7,1
FBgn0262519,T14G8.1,1
FBgn0023395,F26F12.7,1
FBgn0023395,T14G8.1,1
FBgn0039109,F22F7.7,1
FBgn0050497,F55A12.9,1
FBgn0031707,T26A8.2,1
FBgn0026562,C44B12.2,1
FBgn0010329,H13N06.6,1
FBgn0040020,C24H11.9,1
FBgn0053092,F56D12.1,1
FBgn0036403,F56D12.1,1
FBgn0037138,F56D12.1,1
FBgn0050423,C30B5.2,1
FBgn0034573,T07D1.2,1
FBgn0005561,C04G2.7,1
FBgn0005561,K06B9.5,1
FBgn0003129,K07C11.1,1
FBgn0027607,C47D12.2,1
FBgn0032444,K01C8.10,1
FBgn0031985,F11A10.4,1
FBgn0037912,Y37B11A.3,1
FBgn0037912,K11H3.3,1
FBgn0037744,C05C8.7,1
FBgn0037744,ZK632.4,1
FBgn0035285,F21F3.7,1
FBgn0260660,C36B1.1,1
FBgn0030694,R11D1.10,1
FBgn0051660,F39B2.8,1
FBgn0053696,H09F14.1,1
FBgn0053696,F16C3.1,1
FBgn0053696,C24B5.1,1
FBgn0034933,Y41C4A.9,1
FBgn0261064,Y42H9AR.3,1
FBgn0021953,D1009.1,1
FBgn0021953,F28D1.9,1
FBgn0050194,D1009.1,1
FBgn0050194,F28D1.9,1
FBgn0034999,D1009.1,1
FBgn0034999,F28D1.9,1
FBgn0034361,Y43F8C.8,1
FBgn0034914,F46E10.9,1
FBgn0036221,F46E10.9,1
FBgn0025637,F46A9.5,1
FBgn0025637,F46A9.4,1
FBgn0025637,F44G3.6,1
FBgn0025637,Y60A3A.18,1
FBgn0025637,Y37H2C.2,1
FBgn0025637,F47H4.10,1
FBgn0025637,R12H7.3,1
FBgn0025637,R12H7.5,1
FBgn0025637,K08H2.1,1
FBgn0025637,C42D4.6,1
FBgn0025637,C52D10.8,1
FBgn0025637,C52D10.6,1
FBgn0025637,Y47D7A.8,1
FBgn0025637,F54D10.1,1
FBgn0025637,C52D10.7,1
FBgn0025637,C52D10.9,1
FBgn0025637,Y105C5B.13,1
FBgn0025637,Y47D7A.1,1
FBgn0025637,F56B3.12,1
FBgn0025637,C06A8.4,1
FBgn0034904,F46A9.5,1
FBgn0034904,F46A9.4,1
FBgn0034904,F44G3.6,1
FBgn0034904,Y60A3A.18,1
FBgn0034904,Y37H2C.2,1
